,date,ticker
236,2021-10-19,ASAN
237,2021-10-19,ASAN
238,2021-10-19,UPST
239,2021-10-19,MTCH
240,2021-10-19,ASAN
241,2021-10-19,ASAN
242,2021-10-19,ASAN
243,2021-10-19,NFLX
244,2021-10-19,FANG
245,2021-10-19,M
246,2021-10-19,UPST
247,2021-10-19,M
248,2021-10-19,M
249,2021-10-19,DNA
250,2021-10-19,M
251,2021-10-19,RIOT
252,2021-10-18,M
253,2021-10-18,AMD
254,2021-10-18,M
255,2021-10-18,COST
256,2021-10-18,REAL
257,2021-10-18,DPZ
258,2021-10-18,M
259,2021-10-18,M
260,2021-10-18,M
261,2021-10-18,TSLA
262,2021-10-18,UPST
263,2021-10-18,ASAN
264,2021-10-18,DKNG
265,2021-10-18,TSLA
266,2021-10-18,NFLX
267,2021-10-18,COST
268,2021-10-17,COST
269,2021-10-17,DE
270,2021-10-17,TSLA
271,2021-10-17,NFLX
272,2021-10-17,CLF
273,2021-10-17,SNAP
274,2021-10-17,INTC
275,2021-10-17,HAL
276,2021-10-17,NUE
277,2021-10-17,UAL
278,2021-10-17,LRCX
279,2021-10-17,STLD
280,2021-10-17,FCX
281,2021-10-17,CROX
282,2021-10-17,ISRG
283,2021-10-17,PM
284,2021-10-17,CMG
285,2021-10-17,NEE
286,2021-10-17,KSU
287,2021-10-17,VLO
288,2021-10-17,LVS
289,2021-10-17,SAM
290,2021-10-17,IBM
291,2021-10-17,ANTM
292,2021-10-17,DHR
293,2021-10-17,NFLX
294,2021-10-17,NFLX
295,2021-10-16,CROX
296,2021-10-16,CROX
297,2021-10-16,UAL
298,2021-10-16,AAL
299,2021-10-16,UAL
300,2021-10-16,LUV
301,2021-10-16,SAVE
302,2021-10-16,RCL
303,2021-10-16,CCL
304,2021-10-16,UPST
305,2021-10-16,UPST
306,2021-10-16,TSLA
307,2021-10-15,UPST
308,2021-10-15,M
309,2021-10-15,UPST
310,2021-10-15,ODFL
311,2021-10-15,BBIG
312,2021-10-15,ASAN
313,2021-10-15,BILL
314,2021-10-15,UPST
315,2021-10-14,PINS
316,2021-10-14,UPST
317,2021-10-14,ASAN
318,2021-10-14,INTU
319,2021-10-14,ASAN
320,2021-10-14,LOKB
321,2021-10-14,CLOV
322,2021-10-14,MDB
323,2021-10-14,UPST
324,2021-10-14,TSLA
325,2021-10-14,ZS
326,2021-10-14,ASAN
327,2021-10-14,ASAN
328,2021-10-14,FUBO
329,2021-10-14,SNOW
330,2021-10-14,SNOW
331,2021-10-14,AOL
332,2021-10-14,NFLX
333,2021-10-13,UPST
334,2021-10-13,UPST
335,2021-10-13,UBER
336,2021-10-13,ABNB
337,2021-10-13,AFRM
338,2021-10-13,DOCN
339,2021-10-13,ALGN
340,2021-10-13,ZS
341,2021-10-13,AFRM
342,2021-10-13,DOCN
343,2021-10-13,WMT
344,2021-10-13,FDX
345,2021-10-13,UPST
346,2021-10-13,LVMH
347,2021-10-13,ASAN
348,2021-10-13,DOCN
349,2021-10-13,AFRM
350,2021-10-13,CCJ
351,2021-10-12,ASAN
352,2021-10-12,ABNB
353,2021-10-12,ABNB
354,2021-10-12,ABNB
355,2021-10-21,DWAC
356,2021-10-21,DWAC
357,2021-10-20,BOWX
358,2021-10-18,GSAH
359,2021-10-18,GSAH
360,2021-10-15,SPAC
361,2021-10-15,ADER
362,2021-10-14,HZAC
363,2021-10-14,DKNG
364,2021-10-14,ACEV
365,2021-10-13,PPGH
366,2021-10-13,RBAC
367,2021-10-12,DUNE
368,2021-10-11,PPGH
369,2021-10-09,RBAC
370,2021-10-09,RBAC
371,2021-10-07,NGAB
372,2021-10-07,FMAC
373,2021-10-19,BTU
374,2021-10-19,HUT
375,2021-10-19,BTU
376,2021-10-19,GDRX
377,2021-10-19,BTU
378,2021-10-19,ATER
379,2021-10-19,TASK
380,2021-10-19,BNTX
381,2021-10-19,CEIX
382,2021-10-19,TASK
383,2021-10-19,S
384,2021-10-19,TSLA
385,2021-10-19,CF
386,2021-10-19,CEIX
387,2021-10-19,BTU
388,2021-10-19,X
389,2021-10-19,STLD
390,2021-10-19,NUE
391,2021-10-19,CLF
392,2021-10-18,AMD
393,2021-10-18,NASDAQ
394,2021-10-18,COIN
395,2021-10-18,HUT
396,2021-10-18,BITF
397,2021-10-18,HIVE
398,2021-10-18,CCJ
399,2021-10-18,CLNE
400,2021-10-18,RIOT
401,2021-10-18,BLDE
402,2021-10-18,GDRX
403,2021-10-18,MARA
404,2021-10-18,BTBT
405,2021-10-18,HUT
406,2021-10-18,BITF
407,2021-10-18,HIVE
408,2021-10-17,BNTX
409,2021-10-17,TASK
410,2021-10-17,GEVO
411,2021-10-17,MARA
412,2021-10-17,ANY
413,2021-10-17,OPEN
414,2021-10-17,COIN
415,2021-10-17,IWM
416,2021-10-15,AA
417,2021-10-14,TASK
418,2021-10-14,VYGR
419,2021-10-14,AMD
420,2021-10-14,SPY
421,2021-10-14,NASDAQ
422,2021-10-14,NUE
423,2021-10-14,ANY
424,2021-10-14,ATER
425,2021-10-14,DDOG
426,2021-10-14,LCID
427,2021-10-14,FB
428,2021-10-14,FB
429,2021-10-14,ATER
430,2021-10-14,ATER
431,2021-10-14,ANY
432,2021-10-14,URA
433,2021-10-14,DNN
434,2021-10-14,UUUU
435,2021-10-13,TASK
436,2021-10-13,NUE
437,2021-10-13,ANY
438,2021-10-13,SPY
439,2021-10-13,TASK
440,2021-10-13,ANY
441,2021-10-13,TASK
442,2021-10-13,GDRX
443,2021-10-13,CCJ
444,2021-10-13,AMD
445,2021-10-13,DDOG
446,2021-10-13,S
447,2021-10-13,CCJ
448,2021-10-13,TASK
449,2021-10-13,SE
450,2021-10-13,CCJ
