,date,ticker
235,2021-10-17,SCVX
236,2021-10-17,FORE
237,2021-10-17,DCRN
238,2021-10-17,PACX
239,2021-10-17,VOSO
240,2021-10-17,IS
241,2021-10-17,LFG
242,2021-10-17,FREY
243,2021-10-17,ISOS
244,2021-10-17,RNW
245,2021-10-17,SOFI
246,2021-10-17,JSPR
247,2021-10-17,HIPO
248,2021-10-17,RSI
249,2021-10-17,DNA
250,2021-10-17,TWNK
251,2021-10-17,UWMC
252,2021-10-17,MGY
253,2021-10-17,SPIR
254,2021-10-17,FOA
255,2021-10-17,GENI
256,2021-10-17,DKNG
257,2021-10-17,HYLN
258,2021-10-17,RCOR
259,2021-10-17,KORE
260,2021-10-17,STRC
261,2021-10-17,ARBE
262,2021-10-17,XOS
263,2021-10-17,CRXT
264,2021-10-17,MACQ
265,2021-10-17,SRZN
266,2021-10-17,LFG
267,2021-10-17,EFTR
268,2021-10-17,XPDI
269,2021-10-17,LEV
270,2021-10-17,OPAD
271,2021-10-17,NRDY
272,2021-10-17,DKNG
273,2021-10-16,RBOT
274,2021-10-16,NRDY
275,2021-10-16,ML
276,2021-10-15,VIH
277,2021-10-15,VIH
278,2021-10-15,MOTN
279,2021-10-15,VIH
280,2021-10-15,VIH
281,2021-10-15,BKKT
282,2021-10-15,CCAC
283,2021-10-15,BENE
284,2021-10-14,LEGO
285,2021-10-14,LEGO
286,2021-10-14,LEGO
287,2021-10-14,ASTL
288,2021-10-14,HZAC
289,2021-10-14,DKNG
290,2021-10-14,HZAC
291,2021-10-14,DKNG
292,2021-10-12,DUNE
293,2021-10-12,DUNE
294,2021-10-12,RKLB
295,2021-10-09,CCV
296,2021-10-09,RBAC
297,2021-10-15,FREE
298,2021-10-15,FREEW
299,2021-10-17,NFLX
300,2021-10-16,CROX
301,2021-10-16,CROX
302,2021-10-16,UAL
303,2021-10-16,AAL
304,2021-10-16,UAL
305,2021-10-16,LUV
306,2021-10-16,SAVE
307,2021-10-16,RCL
308,2021-10-16,CCL
309,2021-10-16,UPST
310,2021-10-16,UPST
311,2021-10-16,TSLA
312,2021-10-15,UPST
313,2021-10-15,M
314,2021-10-15,UPST
315,2021-10-15,ODFL
316,2021-10-15,BBIG
317,2021-10-15,ASAN
318,2021-10-15,BILL
319,2021-10-15,UPST
320,2021-10-14,PINS
321,2021-10-14,UPST
322,2021-10-14,ASAN
323,2021-10-14,INTU
324,2021-10-14,ASAN
325,2021-10-14,LOKB
326,2021-10-14,CLOV
327,2021-10-14,MDB
328,2021-10-14,UPST
329,2021-10-14,TSLA
330,2021-10-14,ZS
331,2021-10-14,ASAN
332,2021-10-14,ASAN
333,2021-10-14,FUBO
334,2021-10-14,SNOW
335,2021-10-14,SNOW
336,2021-10-14,AOL
337,2021-10-14,NFLX
338,2021-10-13,UPST
339,2021-10-13,UPST
340,2021-10-13,UBER
341,2021-10-13,ABNB
342,2021-10-13,AFRM
343,2021-10-13,DOCN
344,2021-10-13,ALGN
345,2021-10-13,ZS
346,2021-10-13,AFRM
347,2021-10-13,DOCN
348,2021-10-13,WMT
349,2021-10-13,FDX
350,2021-10-13,UPST
351,2021-10-13,LVMH
352,2021-10-13,ASAN
353,2021-10-13,DOCN
354,2021-10-13,AFRM
355,2021-10-13,CCJ
356,2021-10-12,ASAN
357,2021-10-12,ABNB
358,2021-10-12,ABNB
359,2021-10-12,ABNB
360,2021-10-12,ABNB
361,2021-10-12,UPST
362,2021-10-12,SURF
363,2021-10-12,TJX
364,2021-10-12,AMD
365,2021-10-12,TSLA
366,2021-10-12,NVDA
367,2021-10-12,DKNG
368,2021-10-12,TSLA
369,2021-10-12,TSLA
370,2021-10-12,SQQQ
371,2021-10-12,SPXU
372,2021-10-12,ANY
373,2021-10-11,DKNG
374,2021-10-11,SEDG
375,2021-10-11,LUV
376,2021-10-11,ZS
377,2021-10-11,NFLX
378,2021-10-11,AMD
379,2021-10-11,TSLA
380,2021-10-11,TSLA
381,2021-10-11,OIH
382,2021-10-11,AFRM
383,2021-10-11,OIH
384,2021-10-11,SLB
385,2021-10-11,HAL
386,2021-10-11,BKR
