,Title,Date,Time,No.of comments,Score,Upvote,Tickers
45,"TWNK: The bear thesis sucks Ding Dongs, and shorts are scared of taking it up the brownie in Q3 earnings.",2021-10-11,2021-10-11 20:29:09,222,1032,0.93,TWNK
46,"TWNK: The bear thesis sucks Ding Dongs, and shorts are scared of taking it up the brownie in Q3 earnings.",2021-10-11,2021-10-11 20:29:09,222,1032,0.93,IBKR
47,$SOFI is so fly - holding till I make a million.,2021-10-12,2021-10-12 22:33:37,188,1026,0.91,SOFI
48,Holding SDC until $25 🚀 WHO ELSE GUNNA BE RICH WITH ME?!,2021-09-28,2021-09-28 03:28:45,289,975,0.85,SDC
49,Holding SDC until $25 🚀 WHO ELSE GUNNA BE RICH WITH ME?!,2021-09-28,2021-09-28 03:28:45,289,975,0.85,ELSE
50,Holding SDC until $25 🚀 WHO ELSE GUNNA BE RICH WITH ME?!,2021-09-28,2021-09-28 03:28:45,289,975,0.85,ME
51,Marqeta DD,2021-09-29,2021-09-29 21:01:12,106,966,0.94,API
52,I $WISH to be on the moon one day 🚀,2021-10-20,2021-10-20 19:47:14,289,957,0.87,WISH
53,Small dick club $SDC,2021-10-01,2021-10-01 01:15:48,63,956,0.94,SDC
54,Citadel and Susquehanna's Short Play on Tilray,2021-10-02,2021-10-02 01:06:16,312,942,0.94,TLRY
55,Citadel and Susquehanna's Short Play on Tilray,2021-10-02,2021-10-02 01:06:16,312,942,0.94,CGC
56,TSLA stock and option holders - you are screwed,2021-10-18,2021-10-18 23:48:48,162,893,0.92,TSLA
57,Live look into FB servers this AM,2021-10-05,2021-10-05 01:01:58,36,870,0.97,FB
58,CLOV $350K YOLO,2021-10-11,2021-10-11 19:24:59,123,841,0.85,CLOV
59,"SOFI yolo update, hoping this is just the beginning.",2021-09-22,2021-09-22 19:30:26,80,834,0.92,SOFI
60,"💰🦁 Lions and deSPACs and redemptions, oh my!!! A guide to the fuse (heh) that's been lit on MoneyLion's stock - $ML 💵🐆",2021-09-27,2021-09-27 08:36:18,271,783,0.88,VERY
61,$CLOV $95K YOLO ☘️🍀☘️👀🚀🚀🚀,2021-10-12,2021-10-12 01:48:49,164,768,0.84,CLOV
62,"Someone Said Invest Only What You Can Afford To Lose So I Invested My Life Savings $25,000 Into CLOV No Cap 🧢",2021-10-11,2021-10-11 02:00:35,189,742,0.83,CLOV
63,"$1.3 mil TSLA buy and hold, when I bought at $820 pre-split I thought I was the greatest fool, but luckily Daddy Musk delivers.",2021-10-21,2021-10-21 14:13:59,182,820,0.94,TSLA
64,"Absolutely retarded… sold my 2 $3260 AMZN calls yesterday for a measly ~$7k, today worth $32k. Got FOMO and bought $12k in puts, down $5k on those",2021-10-16,2021-10-16 02:36:08,126,728,0.96,AMZN
65,$LEV - Big LEVerage & Big Booty Buses,2021-09-30,2021-09-30 22:59:23,68,722,0.94,ARVL
66,$LEV - Big LEVerage & Big Booty Buses,2021-09-30,2021-09-30 22:59:23,68,722,0.94,III
67,$LEV - Big LEVerage & Big Booty Buses,2021-09-30,2021-09-30 22:59:23,68,722,0.94,VII
68,I spent the afternoon editing this stupid video after seeing this douche live on CNBC #TSLA #UPST,2021-10-21,2021-10-21 01:21:17,64,652,0.96,TSLA
69,I spent the afternoon editing this stupid video after seeing this douche live on CNBC #TSLA #UPST,2021-10-21,2021-10-21 01:21:17,64,652,0.96,UPST
70,Once in a lifetime discount opportunity detected at $ROOT,2021-10-13,2021-10-13 20:52:45,121,619,0.79,ROOT
71,TLRY stock highly undervalued,2021-10-20,2021-10-20 15:02:53,242,608,0.86,TLRY
